#{"t_start": 1713166468.71797, "env_id": "None"}
r,l,t
-2.469678,2757,3.48799
-2.469678,2757,5.03167
-2.469678,2757,6.606332
-2.469678,2757,8.224632
-2.469678,2757,9.875481
4.908922,2757,12.451541
4.908922,2757,14.531381
4.908922,2757,16.956654
4.908922,2757,18.789199
4.908922,2757,20.471203
11.841158,2757,23.516914
11.841158,2757,25.197339
11.841158,2757,26.909462
11.841158,2757,28.715629
11.841158,2757,30.848492
-2.229572,2757,33.773701
-2.229572,2757,35.566913
-2.229572,2757,37.455813
-2.229572,2757,39.118793
-2.229572,2757,40.707666
-2.900364,2757,43.34152
-2.900364,2757,44.881626
-2.900364,2757,46.423005
-2.900364,2757,48.300992
-2.900364,2757,50.075598
1.769765,2757,52.666128
1.769765,2757,54.37916
1.769765,2757,56.073802
1.769765,2757,58.588853
1.769765,2757,60.543776
11.778152,2757,64.051476
11.778152,2757,66.604309
11.778152,2757,68.668396
11.778152,2757,71.044207
11.778152,2757,74.151774
11.801961,2757,78.916379
11.801961,2757,81.636023
11.801961,2757,84.140063
11.801961,2757,86.840319
11.801961,2757,89.734535
17.740068,2757,92.832003
17.740068,2757,94.534135
17.740068,2757,96.446567
17.740068,2757,98.652835
17.740068,2757,100.398891
12.89257,2757,103.655225
12.89257,2757,106.656068
12.89257,2757,109.799212
12.89257,2757,113.401634
12.89257,2757,116.246229
15.704098,2757,120.877403
15.704098,2757,123.721084
15.704098,2757,126.66885
15.704098,2757,128.777541
15.704098,2757,130.656877
17.938611,2757,133.258368
17.938611,2757,135.102166
17.938611,2757,137.276868
17.938611,2757,139.500477
17.938611,2757,142.017719
15.480854,2757,146.453442
15.480854,2757,149.132418
15.480854,2757,152.227819
15.480854,2757,155.338048
15.480854,2757,157.431529
15.462902,2757,160.293889
15.462902,2757,162.007661
15.462902,2757,163.978724
15.462902,2757,166.787344
15.462902,2757,170.899807
11.85949,2757,175.300637
11.85949,2757,178.253533
11.85949,2757,180.763546
11.85949,2757,183.183957
11.85949,2757,185.537977
10.482329,2757,188.389537
10.482329,2757,190.05269
10.482329,2757,191.685628
10.482329,2757,193.348276
10.482329,2757,195.023672
11.776826,2757,198.098731
11.776826,2757,200.751398
11.776826,2757,203.602857
11.776826,2757,206.311136
