#{"t_start": 1713417154.181593, "env_id": "None"}
r,l,t
15.610109,2757,90.490305
15.610109,2757,91.462348
15.610109,2757,92.428789
15.610109,2757,93.317761
15.610109,2757,94.192154
15.610109,2757,95.062354
15.610109,2757,95.940831
15.610109,2757,96.823964
15.610109,2757,97.699239
15.610109,2757,98.575082
15.610109,2757,103.452842
15.610109,2757,104.398568
15.610109,2757,105.558861
15.610109,2757,106.528972
15.610109,2757,107.385002
15.610109,2757,108.325815
15.610109,2757,109.251055
15.610109,2757,110.128352
15.610109,2757,110.998191
15.610109,2757,111.913984
0.355417,2757,187.797438
0.355417,2757,188.695137
0.355417,2757,189.558349
0.355417,2757,190.406126
0.355417,2757,191.250693
0.355417,2757,192.099809
0.355417,2757,192.963505
0.355417,2757,193.921697
0.355417,2757,194.83574
0.355417,2757,195.701092
15.610109,2757,202.050634
15.610109,2757,203.063864
15.610109,2757,203.93761
15.610109,2757,204.856731
15.610109,2757,205.728058
15.610109,2757,206.6099
15.610109,2757,207.47561
15.610109,2757,208.333143
15.610109,2757,209.182947
15.610109,2757,210.039813
0.032877,2757,210.934884
0.032877,2757,211.774596
0.032877,2757,212.626596
0.032877,2757,213.476561
0.032877,2757,214.322285
0.032877,2757,215.162324
0.032877,2757,216.011797
0.032877,2757,216.853194
0.032877,2757,217.690317
0.032877,2757,218.529691
15.610109,2757,267.516824
15.610109,2757,268.413135
15.610109,2757,269.603462
15.610109,2757,270.717955
15.610109,2757,271.607325
15.610109,2757,272.491098
15.610109,2757,273.362403
15.610109,2757,274.246717
15.610109,2757,275.124421
15.610109,2757,276.002064
27.606045,2757,802.964167
27.606045,2757,803.823281
27.606045,2757,804.67797
27.606045,2757,805.556753
27.606045,2757,806.414816
27.606045,2757,807.31604
27.606045,2757,808.215311
27.606045,2757,809.06637
27.606045,2757,809.940154
27.606045,2757,810.792505
125.354364,2757,814.850895
125.354364,2757,815.720153
125.354364,2757,816.568643
125.354364,2757,817.4212
125.354364,2757,818.27302
125.354364,2757,819.127707
125.354364,2757,819.986
125.354364,2757,820.837606
125.354364,2757,821.691907
125.354364,2757,822.543646
2.192528,2757,837.320022
2.192528,2757,838.240139
2.192528,2757,839.133159
2.192528,2757,839.98106
2.192528,2757,840.821377
2.192528,2757,841.663115
2.192528,2757,842.505586
2.192528,2757,843.358527
2.192528,2757,844.200618
2.192528,2757,845.0462
27.606045,2757,853.055007
27.606045,2757,853.913143
27.606045,2757,854.767401
27.606045,2757,855.692985
27.606045,2757,856.607222
27.606045,2757,857.481456
27.606045,2757,858.34101
27.606045,2757,859.328027
27.606045,2757,860.364749
27.606045,2757,861.229811
