#{"t_start": 1713419021.8955479, "env_id": "None"}
r,l,t
0.0,2737,2.332189
0.0,2737,3.49295
0.0,2737,4.674906
0.0,2737,5.80093
0.0,2737,6.942138
0.0,2737,8.93826
0.0,2737,10.194486
0.0,2737,11.4556
0.0,2737,12.657303
0.0,2737,13.912578
0.0,2737,15.868209
0.0,2737,17.177515
0.0,2737,18.618533
0.0,2737,19.857821
0.0,2737,21.05139
0.0,2737,23.002125
0.0,2737,24.237723
0.0,2737,25.38209
0.0,2737,26.603602
0.0,2737,27.834903
0.0,2737,29.956607
0.0,2737,31.287973
0.0,2737,32.582236
0.0,2737,33.812179
0.0,2737,35.045982
0.0,2737,37.165805
0.0,2737,38.416408
0.0,2737,39.61327
0.0,2737,40.868897
0.0,2737,42.12642
0.0,2737,44.164961
0.0,2737,45.453868
0.0,2737,46.631976
0.0,2737,47.831235
0.0,2737,49.067202
405.978601,2737,51.200886
405.978601,2737,52.4681
405.978601,2737,53.738364
405.978601,2737,54.937526
405.978601,2737,56.09758
175.945688,2737,58.131211
175.945688,2737,59.374637
175.945688,2737,60.579687
175.945688,2737,61.746662
175.945688,2737,62.961939
50.838564,2737,64.962117
50.838564,2737,66.282391
50.838564,2737,67.557903
50.838564,2737,68.886891
50.838564,2737,70.161665
0.0,2737,72.335345
0.0,2737,73.858824
0.0,2737,75.12293
0.0,2737,76.311562
0.0,2737,77.521378
248.428526,2737,79.629115
248.428526,2737,80.926828
248.428526,2737,82.166705
248.428526,2737,83.437127
248.428526,2737,84.632062
0.0,2737,86.518516
0.0,2737,87.686497
0.0,2737,88.897301
0.0,2737,90.074813
0.0,2737,91.232721
3.42,2737,93.186687
3.42,2737,94.365853
3.42,2737,95.578271
3.42,2737,96.796184
3.42,2737,97.986523
0.0,2737,99.919603
0.0,2737,101.127126
0.0,2737,102.350301
0.0,2737,103.510866
0.0,2737,104.665483
59.551491,2737,106.686372
59.551491,2737,107.910485
59.551491,2737,109.123085
59.551491,2737,110.32616
59.551491,2737,111.523325
419.272987,2737,113.413466
419.272987,2737,114.62431
419.272987,2737,115.82198
419.272987,2737,117.025331
419.272987,2737,118.226135
427.977287,2737,120.273501
427.977287,2737,121.470897
427.977287,2737,122.661966
427.977287,2737,123.880771
427.977287,2737,125.121962
-3.494308,2737,127.085959
-3.494308,2737,128.307069
-3.494308,2737,129.518862
-3.494308,2737,130.715679
-3.494308,2737,131.919466
8.540098,2737,133.847723
8.540098,2737,135.021248
8.540098,2737,136.216024
8.540098,2737,137.397676
8.540098,2737,138.608403
3.194284,2737,140.680801
3.194284,2737,141.894415
3.194284,2737,143.123621
3.194284,2737,144.407705
3.194284,2737,146.06428
69.451431,2737,148.12632
69.451431,2737,149.545345
69.451431,2737,151.138562
69.451431,2737,152.446512
69.451431,2737,153.51318
306.532871,2737,155.00243
306.532871,2737,155.923901
306.532871,2737,156.885356
306.532871,2737,157.942944
306.532871,2737,159.016661
299.771641,2737,161.662693
299.771641,2737,162.983768
299.771641,2737,164.211544
299.771641,2737,165.381167
299.771641,2737,166.530108
65.580057,2737,168.20693
65.580057,2737,169.424224
65.580057,2737,170.597173
65.580057,2737,171.973339
65.580057,2737,173.110787
-9.134272,2737,174.841546
-9.134272,2737,176.22539
-9.134272,2737,177.391124
-9.134272,2737,178.55118
-9.134272,2737,179.624892
0.0,2737,181.3068
0.0,2737,182.358847
0.0,2737,183.371332
0.0,2737,184.633666
0.0,2737,185.804765
1.277138,2737,187.812579
1.277138,2737,189.154023
1.277138,2737,190.301183
1.277138,2737,191.855518
1.277138,2737,192.855139
6.805796,2737,194.428849
6.805796,2737,195.435804
6.805796,2737,196.443769
6.805796,2737,197.439623
6.805796,2737,198.439217
-4.004301,2737,200.011789
-4.004301,2737,201.001699
-4.004301,2737,202.010824
-4.004301,2737,202.997776
-4.004301,2737,203.985665
12.981466,2737,205.67301
12.981466,2737,206.633468
12.981466,2737,207.604761
12.981466,2737,208.589984
12.981466,2737,209.550103
0.0,2737,211.080709
0.0,2737,212.056905
0.0,2737,213.030805
0.0,2737,213.998614
0.0,2737,214.983144
0.0,2737,216.503207
0.0,2737,217.475383
0.0,2737,218.441676
0.0,2737,219.406917
0.0,2737,220.406745
13.244381,2737,222.15596
13.244381,2737,223.182036
13.244381,2737,224.170124
13.244381,2737,225.158194
13.244381,2737,226.136974
0.0,2737,227.661374
0.0,2737,228.603798
0.0,2737,229.556024
0.0,2737,230.515534
0.0,2737,231.474233
330.601433,2737,232.991505
330.601433,2737,233.949247
330.601433,2737,234.910889
330.601433,2737,236.067792
330.601433,2737,237.030676
51.307171,2737,238.527519
51.307171,2737,239.483879
51.307171,2737,240.42123
51.307171,2737,241.382812
51.307171,2737,242.329991
201.587135,2737,243.879517
201.587135,2737,244.833751
201.587135,2737,245.782477
201.587135,2737,246.722034
201.587135,2737,247.658304
253.204441,2737,249.16574
253.204441,2737,250.115925
253.204441,2737,251.36701
253.204441,2737,252.324935
253.204441,2737,253.278841
-3.325686,2737,254.826316
-3.325686,2737,255.804402
-3.325686,2737,256.802525
-3.325686,2737,257.76456
-3.325686,2737,258.739002
-10.468592,2737,260.289983
-10.468592,2737,261.271951
-10.468592,2737,262.2519
-10.468592,2737,263.246952
-10.468592,2737,264.230822
162.975708,2737,265.885799
162.975708,2737,266.825257
162.975708,2737,267.789523
162.975708,2737,268.740654
162.975708,2737,269.689755
155.652851,2737,271.19144
155.652851,2737,272.16783
155.652851,2737,273.107379
155.652851,2737,274.040421
155.652851,2737,274.96808
162.377132,2737,276.511045
162.377132,2737,277.477027
162.377132,2737,278.442779
162.377132,2737,279.413508
162.377132,2737,280.389231
148.950016,2737,282.121432
148.950016,2737,283.093822
148.950016,2737,284.078847
148.950016,2737,285.022828
148.950016,2737,285.976532
150.33573,2737,287.472849
150.33573,2737,288.414721
150.33573,2737,289.352307
150.33573,2737,290.28887
150.33573,2737,291.237185
314.725706,2737,292.750998
314.725706,2737,293.683935
314.725706,2737,294.621941
314.725706,2737,295.768557
314.725706,2737,296.730884
325.698526,2737,298.220183
325.698526,2737,299.264482
325.698526,2737,300.164338
325.698526,2737,301.250511
325.698526,2737,302.421579
309.208536,2737,304.002807
309.208536,2737,304.904744
309.208536,2737,305.80555
309.208536,2737,306.70372
309.208536,2737,307.896681
298.528543,2737,309.849683
298.528543,2737,311.02323
298.528543,2737,311.996454
298.528543,2737,312.9494
298.528543,2737,313.883127
136.264322,2737,315.45344
136.264322,2737,316.492433
136.264322,2737,317.497987
136.264322,2737,318.486324
136.264322,2737,319.542483
199.152853,2737,321.207025
199.152853,2737,322.16253
199.152853,2737,323.092935
199.152853,2737,324.016812
199.152853,2737,324.952554
120.084282,2737,326.806531
120.084282,2737,327.765543
120.084282,2737,328.741545
120.084282,2737,329.678186
120.084282,2737,330.789351
11.5529,2737,332.53399
11.5529,2737,333.468887
11.5529,2737,334.44996
11.5529,2737,335.349716
11.5529,2737,336.247951
120.200022,2737,337.728952
120.200022,2737,338.692225
120.200022,2737,339.584446
120.200022,2737,340.759427
120.200022,2737,341.691801
69.27578,2737,343.378531
69.27578,2737,344.315243
69.27578,2737,345.327386
69.27578,2737,346.217978
69.27578,2737,347.139851
60.787157,2737,348.688659
60.787157,2737,349.631722
60.787157,2737,350.580897
60.787157,2737,351.521337
60.787157,2737,352.49937
133.351465,2737,353.992281
133.351465,2737,354.898472
133.351465,2737,355.99574
133.351465,2737,356.952605
133.351465,2737,357.977948
249.64839,2737,359.448543
249.64839,2737,360.493914
249.64839,2737,361.438903
249.64839,2737,362.454799
249.64839,2737,363.425643
144.321463,2737,365.027647
144.321463,2737,365.987953
144.321463,2737,366.98539
144.321463,2737,367.984341
144.321463,2737,368.911738
36.348551,2737,370.381812
36.348551,2737,371.661235
36.348551,2737,372.673892
36.348551,2737,373.617084
36.348551,2737,374.547682
12.418655,2737,376.012588
12.418655,2737,376.969995
12.418655,2737,377.920031
12.418655,2737,378.82419
12.418655,2737,379.805314
15.727209,2737,381.243362
15.727209,2737,382.23318
15.727209,2737,383.304496
15.727209,2737,384.305423
15.727209,2737,385.295419
219.798567,2737,386.974463
219.798567,2737,387.950763
219.798567,2737,388.957639
219.798567,2737,389.898499
219.798567,2737,390.807292
198.70859,2737,392.235597
198.70859,2737,393.192501
198.70859,2737,394.104471
198.70859,2737,395.044934
198.70859,2737,396.038087
247.88142,2737,397.533715
247.88142,2737,398.473341
247.88142,2737,399.442633
247.88142,2737,400.432323
247.88142,2737,401.5843
44.031424,2737,403.248194
44.031424,2737,404.514985
44.031424,2737,405.470318
44.031424,2737,406.482828
44.031424,2737,407.425193
37.441412,2737,409.122617
37.441412,2737,410.202276
37.441412,2737,411.235975
37.441412,2737,412.170583
37.441412,2737,413.173775
38.345694,2737,414.814483
38.345694,2737,415.973422
38.345694,2737,416.877614
38.345694,2737,417.767555
38.345694,2737,418.852108
247.704279,2737,420.710746
247.704279,2737,421.639487
247.704279,2737,422.732368
247.704279,2737,423.732778
247.704279,2737,424.719619
214.835714,2737,426.192641
214.835714,2737,427.192862
214.835714,2737,428.147816
214.835714,2737,429.097622
214.835714,2737,430.126119
63.194239,2737,432.672843
63.194239,2737,434.046825
63.194239,2737,435.469405
63.194239,2737,436.963052
63.194239,2737,438.151468
1.854321,2737,439.737812
1.854321,2737,440.70997
1.854321,2737,441.652337
1.854321,2737,442.699946
1.854321,2737,443.612074
290.684425,2737,445.051443
290.684425,2737,446.10978
290.684425,2737,447.030606
290.684425,2737,447.951956
290.684425,2737,448.856098
114.629999,2737,450.272543
114.629999,2737,451.172296
114.629999,2737,452.103109
114.629999,2737,453.342287
114.629999,2737,454.320667
-0.002846,2737,455.816419
-0.002846,2737,456.742171
-0.002846,2737,457.623287
-0.002846,2737,458.541901
-0.002846,2737,459.487064
314.030005,2737,461.070298
314.030005,2737,462.027901
314.030005,2737,463.055877
314.030005,2737,464.011374
314.030005,2737,464.908954
300.385851,2737,466.312797
300.385851,2737,467.192869
300.385851,2737,468.126895
300.385851,2737,469.013522
300.385851,2737,469.917795
75.645685,2737,471.375968
75.645685,2737,472.34357
75.645685,2737,473.301448
75.645685,2737,474.239612
75.645685,2737,475.154584
68.749964,2737,476.792662
68.749964,2737,477.679273
68.749964,2737,478.545148
68.749964,2737,479.417724
68.749964,2737,480.289113
43.452871,2737,481.754755
43.452871,2737,482.655923
43.452871,2737,483.55417
43.452871,2737,484.453847
43.452871,2737,485.361914
42.257221,2737,486.785393
42.257221,2737,487.68793
42.257221,2737,488.590754
42.257221,2737,489.498739
