#{"t_start": 1713584901.2345285, "env_id": "None"}
r,l,t
128.51977,2737,6.378309
128.51977,2737,8.421543
128.51977,2737,10.262861
128.51977,2737,12.145683
128.51977,2737,14.019864
128.51977,2737,15.899343
128.51977,2737,17.767216
128.51977,2737,19.669069
128.51977,2737,21.549249
128.51977,2737,23.467494
5.811466,2737,28.58927
5.811466,2737,30.510152
5.811466,2737,32.341023
5.811466,2737,34.364975
5.811466,2737,36.181264
5.811466,2737,38.161255
5.811466,2737,40.0201
5.811466,2737,42.015033
5.811466,2737,43.88015
5.811466,2737,45.923252
128.51977,2737,55.424537
128.51977,2737,57.37689
128.51977,2737,59.239927
128.51977,2737,61.089251
128.51977,2737,62.977914
128.51977,2737,64.859455
128.51977,2737,66.784173
128.51977,2737,68.725432
128.51977,2737,70.684379
128.51977,2737,72.595393
1.85231,2737,102.302354
1.85231,2737,104.235883
1.85231,2737,106.401711
1.85231,2737,108.64837
1.85231,2737,110.648413
1.85231,2737,112.81197
1.85231,2737,114.70597
1.85231,2737,116.564525
1.85231,2737,118.76976
1.85231,2737,120.637444
128.51977,2737,253.117128
128.51977,2737,255.00353
128.51977,2737,256.868545
128.51977,2737,258.701948
128.51977,2737,260.55513
128.51977,2737,262.3961
128.51977,2737,264.241993
128.51977,2737,266.068762
128.51977,2737,267.911314
128.51977,2737,269.745309
